Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0177,1,2016-12-29,4,CALLE,ARENALES,False,14,-58.40966671,-34.58788235,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0178,1,2016-12-30,16,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,True,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,MULTIPLE,homicidio,True,True
2017-0001,1,2017-01-02,1,AVENIDA,"JUSTO, JUAN B. AV.",True,11,-58.4659423,-34.61028571,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2017-0003,1,2017-01-05,3,AVENIDA,OLAVARRIA,True,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,CARGAS,homicidio,True,True
2017-0007,1,2017-01-11,17,CALLE,LIMA,True,1,-58.3816166,-34.61529543,MULTIPLE,PEATON,MULTIPLE,homicidio,True,True
2017-0008,1,2017-01-16,0,CALLE,"CABRERA, JOSE A.",True,14,-58.43917004,-34.58494351,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,False,False
2017-0009,1,2017-01-16,13,AUTOPISTA,AUTOPISTA 25 DE MAYO,False,5,-58.41595919,-34.62743346,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2017-0010,1,2017-01-16,16,AVENIDA,DIRECTORIO AV.,True,6,-58.4356488,-34.62828656,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2017-0011,1,2017-01-22,2,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.5007381,-34.5497951,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,False,False
2017-0012,1,2017-01-24,14,CALLE,TRAFUL,True,4,-58.40969005,-34.6505529,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2017-0013,1,2017-01-27,7,AVENIDA,"IRIARTE, GRAL. AV.",False,4,-58.38972622,-34.65098981,PEATON-CARGAS,PEATON,CARGAS,homicidio,False,False
2017-0014,1,2017-01-28,8,AVENIDA,DONADO,True,12,-58.49185972,-34.55046754,MULTIPLE,MOTO,MULTIPLE,homicidio,True,True
2017-0015,1,2017-02-02,15,AVENIDA,CORDOBA AV.,True,2,-58.39293417,-34.59963642,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2017-0016,1,2017-02-03,5,AUTOPISTA,AUTOPISTA 25 DE MAYO,False,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2017-0017,1,2017-02-06,8,AVENIDA,"JUSTO, JUAN B. AV.",True,14,-58.429012,-34.58095431,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2017-0018,1,2017-02-09,7,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2017-0021,1,2017-02-18,5,CALLE,SARMIENTO,True,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
2017-0024,1,2017-02-23,20,AVENIDA,RIVADAVIA AV.,False,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,False,False
2017-0026,2,2017-02-26,5,AVENIDA,"MORENO, PERITO AV.",True,4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,homicidio,True,True
2017-0027,1,2017-02-26,21,AVENIDA,CASEROS AV.,False,1,-58.38332245,-34.6319325,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2017-0028,1,2017-02-28,9,AVENIDA,GAONA AV.,True,6,-58.45475488,-34.61196327,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2017-0030,1,2017-03-07,8,AVENIDA,MOZART,True,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,AUTO,PASAJEROS,homicidio,False,False
2017-0031,1,2017-03-11,1,CALLE,24 DE NOVIEMBRE,True,3,-58.4099756,-34.62873635,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,homicidio,True,True
